perfil_id,fecha,numero,clase,lon,lat
4484,1979-03-27,II-318C,"",-65.158889,-35.1375
630,1966-11-01,4/288 C,Brunizem,-59.845745,-34.679462
5933,2008-10-01,P 15,Calciargides típico,-69.531833,-41.882555
7141,1974-06-24,2/1974 C,"",-60.690893,-36.910177
5642,1982-01-01,1/224C,"Torripsamente típico, arenosa, mixta, térmica",-67.721868,-34.740484
4979,1987-11-06,III-958 C,"",-66.604167,-33.863889
6498,2017-03-09,307-c,Haplustol éntico,-64.270638,-34.791916
1595,1967-10-02,1/556 C,Alcalino - Solonetz solodizado,-59.005307,-35.258924
4231,1964-02-27,915/12,"",-71.562443,-41.051163
5639,1991-01-01,C7,"",-62.618333,-39.388333
4424,1978-11-08,II-226C,"",-65.360278,-35.494722
1496,1979-02-06,16/744 C,Hapludol tapto árgico,-61.284174,-34.481102
6708,1970-02-24,7/1242 C,"Argiudol petrocálcico, fina",-58.291158,-37.948582
7051,2001-06-21,243,"Argiacuoles vérticos, arcillosa fina,  hipertérmico",-58.822297,-30.103692
4349,2011-01-01,C38,Haplustol óxico,-61.90058,-23.96401
4865,1988-05-17,59,Hapludox típico,-55.07095,-27.311671
5397,1976-10-10,449 C,"",-63.4,-38.9
6260,2017-03-16,2590,"Hapludalfes acuólicos, arcillosa fina",-58.037722,-28.933889
6696,2019-05-27,2745,Kandihumultes típicos,-55.875103,-27.847894
2356,1981-12-02,STA 223,"",-58.280881,-27.387359
5003,1983-07-09,C-428 RN,"",-67.622861,-39.635361
1390,2007-11-28,Obs. 11,Haplustol fluvéntico - Ustifluvente (?),-62.686389,-39.343056
2911,1985-12-05,64 C,"Hapludol thapto árgico, fina, illítica, moderadamente somera, térmica",-60.642322,-37.470622
2272,2001-05-01,2272,Haplustol arídico,-65.116667,-27.95
691,1967-03-30,11/1042 C,Brunizem,-61.10637,-33.819803
7643,1969-11-27,17/331 C,"",-62.549236,-32.408144
6721,1970-03-17,4/958 C,"Argialbol típico, franca fina",-58.089926,-37.690694
5533,1776-01-01,334,"",-64.933333,-35.766667
790,1965-11-24,2/202 C,Brunizem,-59.317413,-34.542048
5051,1982-09-01,C-231 RN,"",-65.03575,-41.811194
6854,1974-03-28,9/3052 C,"",-59.968769,-36.122075
384,1966-01-01,384,Argiudol típico,-61.388889,-32.933333
4494,1978-11-08,III-220C,"",-65.608056,-35.751944
2832,2010-04-07,P4b C1,Haplustol éntico,-62.972111,-38.846611
7627,1969-11-26,17/324 C,"",-62.656211,-32.487756
7011,1987-06-15,C-4,"Argiudoles vérticos, arcillosa fina,  hipertérmico",-57.686216,-29.725711
629,1966-11-24,12/796 C,"",-60.786961,-34.47279
888,1968-04-19,8/1050 C,"",-60.649584,-34.666985
4428,1978-11-08,II-230C,"",-65.182778,-35.590278
7495,1974-12-01,22/2347 C,"Natracuol típico, fina",-57.645401,-36.886676
4954,1978-11-08,III-225 C,"",-65.576667,-35.706389
3249,0001-01-01,3249,"Natracualf típico, arcillosa fina",-61.501944,-32.070278
937,2006-01-01,937,Torrifluventes tipico,-68.896883,-33.097714
7556,1968-04-26,6/986 C,"",-61.589882,-33.540285
489,1966-04-27,11/446 C,Brunizem,-60.577078,-34.068687
7133,1973-06-07,2/1616 C,"Hapludol lítico, franca fina",-60.666158,-36.715026
4167,1959-10-24,627/56C,Korismozen típico (suelo marrón),-63.759333,-25.464767
696,1967-03-28,11/1035 C,"",-61.067024,-33.730943
1532,1967-05-03,14/441 C,"",-59.539144,-35.054128
7620,1969-05-21,6/101 C,"Argiacuol, fina",-58.164909,-36.931639
3405,2007-07-31,M22,"",-55.3425,-27.632778
3735,1962-02-23,756/10,"",-67.983333,-54.01
3848,1959-02-17,605/28,"",-69.95,-47.733333
779,1966-07-14,5/300 C,Natracualf típico,-60.370487,-33.761071
2518,1971-05-17,CFI 438,Psamacuentes típicos,-59.270426,-29.356434
5375,1976-08-01,381 C,"",-64.916667,-37.4
6907,1973-11-07,14/2459 C,Natracuol típico,-59.192303,-36.138313
1356,1995-01-01,C9,"Hapludol ácuico, franco grueso",-62.618333,-39.393333
7518,1970-02-18,25/173 C,"Natracuol, fina",-58.170916,-36.889643
7574,1969-07-15,24/127 C,"Albacualf típico, fina",-58.175698,-36.919174
